/////////////////////////////////////////////////
// Arquivo de Configuração - MuServer Season 4///
// ©2013				      ///
/////////////////////////////////////////////////

// Categoria: 0.Normal 1.Potion 2.Accessory 3.Special
// Selos    : 1.NEW 2.HOT 3.SALE


//---------------------------------------------------------------------------------------//
// 				      Normal Table 		          		 //
//---------------------------------------------------------------------------------------//
//   IndexID   GroupID   Amount   UseTime   Category   UseType  BuyType  Sellhow  Price  //
//---------------------------------------------------------------------------------------//

       0         0         1        0          0        0        0        0        10   //Kris 
       0         1         1        0          0        0        0        0        10   //Short Sword 
       0         2         1        0          0        0        0        0        10   //Rapier 
       0         3         1        0          0        0        0        0        15   //Katana 
       0         4         1        0          0        0        0        0        10   //Sword of Assassin 
       0         5         1        0          0        0        0        0        10   //Blade 
       0         6         1        0          0        0        0        0        12   //Gladius 
       0         7         1        0          0        0        0        0        11   //Falchion 
       0         8         1        0          0        0        0        0        10   //Serpent Borg 
       0         9         1        0          0        0        0        0        11   //Salamander Sword 
       0         10        1        0          0        0        0        0        10   //Light Saber 
       0         11        1        0          0        0        0        0        14   //Legendary Sword 
       0         12        1        0          0        0        0        0        10   //Heliacal Sword 
       0         13        1        0          0        0        0        0        11   //Double Blade 
       0         14        1        0          0        0        0        0        14   //Lightning Sword -
       0         15        1        0          0        0        0        0        15   //Giant Sword 
       0         16        1        0          0        0        0        0        16   //Sword of Destruction -
       0         17        1        0          0        0        0        0        14   //Dark Breaker 
       0         18        1        0          0        0        0        0        12   //Thunder Sword 
       0         19        1        0          0        0        0        0        16   //Divine Sword of Archangel 
       0         20        1        0          0        0        0        0        21   //Knight Blade 
       0         21        1        0          0        0        0        2        23   //Dark Reign Blade 
       0         22        1        0          0        0        0        2        28   //Bone Blade 
       0         23        1        0          0        0        0        2        27   //Explosion Blade 
       0         24        1        0          0        0        0        2        29   //Daybreak 
       0         25        1        0          0        0        0        2        26   //Sword Dancer 
       0         31        1        0          0        0        0        0        29   //Rune Blade 

       
       1         0         1        0          0        0        0        0        10   //Small Axe 
       1         1         1        0          0        0        0        0        10   //Hand Axe 
       1         2         1        0          0        0        0        0        10   //Double Axe 
       1         3         1        0          0        0        0        0        10   //Tomahawk 
       1         4         1        0          0        0        0        0        11   //Elven Axe 
       1         5         1        0          0        0        0        0        12   //Battle Axe 
       1         6         1        0          0        0        0        0        12   //Nikkea Axe 
       1         7         1        0          0        0        0        0        11   //Larkan Axe 
       1         8         1        0          0        0        0        0        12   //Crescent Axe 


       2         0         1        0          0        0        0        0        10   //Mace 
       2         1         1        0          0        0        0        0        12   //Morning Star 
       2         2         1        0          0        0        0        0        11   //Flail 
       2         3         1        0          0        0        0        0        11   //Great Hammer –
       2         4         1        0          0        0        0        0        10   //Crystal Morning Star 
       2         5         1        0          0        0        0        0        11   //Crystal Sword 
       2         6         1        0          0        0        0        0        10   //Chaos Dragon Axe 
       2         7         1        0          0        0        0        0        11   //Elemental Mace 
       2         8         1        0          0        0        0        0        12   //Battle Scepter 
       2         9         1        0          0        0        0        0        13   // Master Scepter 
       2         10        1        0          0        0        0        0        15   //Great Scepter 
       2         11        1        0          0        0        0        0        14   //Lord Scepter 
       2         12        1        0          0        0        0        0        19   //Great Lord Scepter 
       2         13        1        0          0        0        0        0        19   // Absolute Scepter of Archangel 
       2         14        1        0          0        0        0        0        24   //Solay-u Scepter 
       2         15        1        0          0        0        0        0        27   //Shining Scepter



       3         0         1        0          0        0        0        0        10   //Light Spear 
       3         1         1        0          0        0        0        0        11   //Spear 
       3         2         1        0          0        0        0        0        11   //Dragon Lance 
       3         3         1        0          0        0        0        0        12   //Giant Trident 
       3         4         1        0          0        0        0        0        11  //Serpent Spear 
       3         5         1        0          0        0        0        0        10   //Double Poleaxe 
       3         6         1        0          0        0        0        0        10   //Halberd 
       3         7         1        0          0        0        0        0        11   //Berdysh 
       3         8         1        0          0        0        0        0        11   //Great Scythe 
       3         9         1        0          0        0        0        0        14   //Bill of Balrog 
       3         10        1        0          0        0        0        0        13   //Dragon Spear

       4         0         1        0          0        0        0        0        10   //Short Bow 
       4         1         1        0          0        0        0        0        10   //Bow - ELF
       4         2         1        0          0        0        0        0        10   //Elven Bow 
       4         3         1        0          0        0        0        0        10   //Battle Bow 
       4         4         1        0          0        0        0        0        10   //Tiger Bow 
       4         5         1        0          0        0        0        0        11   //Silver Bow 
       4         6         1        0          0        0        0        0        16   //Chaos Nature Bow 
       4         7         1        0          0        0        0        0        11   //Bolts 
       4         8         1        0          0        0        0        0        12   //Crossbow -
       4         9         1        0          0        0        0        0        12   //Golden Crossbow 
       4         10        1        0          0        0        0        0        11   //Arquebus 
       4         11        1        0          0        0        0        0        13   //Light Crossbow 
       4         12        1        0          0        0        0        0        12   //Serpent Crossbow 
       4         13        1        0          0        0        0        0        14   //Blue Wing Crossbow 
       4         14        1        0          0        0        0        0        14   //Aqua Gold Crossbow 
       4         16        1        0          0        0        0        0        16   //Saint Crossbow 
       4         17        1        0          0        0        0        0        19   //Celestial Bow 
       4         18        1        0          0        0        0        0        21   //Divine Crossbow of Archangel
       4         19        1        0          0        0        0        0        19   //Great Reign Crossbow 
       4         20        1        0          0        0        0        0        24   //Arrow Viper Bow 
       4         21        1        0          0        0        0        0        27   //Sylph Wind Bow 
       4         22        1        0          0        0        0        0        28   //Albatross Bow 

       5         0         1        0          0        0        0        0        12   //Legendary Staff 
       5         1         1        0          0        0        0        0        12   //Legendary Staff 
       5         2         1        0          0        0        0        0        12   //Legendary Staff 
       5         3         1        0          0        0        0        0        12   //Legendary Staff 
       5         4         1        0          0        0        0        0        12   //Legendary Staff 
       5         5         1        0          0        0        0        0        12   //Legendary Staff 
       5         6         1        0          0        0        0        0        12   //Staff of Ressurection  
       5         7         1        0          0        0        0        0        10   //Chaos Lightning Staff 
       5         8         1        0          0        0        0        0        14   //Staff of Destruction 
       5         9         1        0          0        0        0        0        18   //Grand Soul Staff 
       5         10        1        0          0        0        0        0        18   //Divine Staff of Archangel 
       5         11        1        0          0        0        0        0        22   //Staff of Kundun 
       5         12        1        0          0        0        0        0        26   //Grand Viper Staff 
       5         13        1        0          0        0        0        0        26   //Platina Wing Staff 

       6         0         1        0          0        0        0        0        10   //Round Shield
       6         1         1        0          0        0        0        0        10   //Horn Shield 
       6         2         1        0          0        0        0        0        10   //Kite Shield 
       6         3         1        0          0        0        0        0        10   //Elven Shield 
       6         4         1        0          0        0        0        0        10   //Buckler 
